10.0.2.15;216.58.201.98;33636;443;1;0x00000303;47802,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;2570,65281,0,23,35,13,5,18,16,11,10,27,23130;googleads.g.doubleclick.net;0x00007a7a,0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:49.663689000 CEST
216.58.201.98;10.0.2.15;443;33636;2;0x00000303;49195;23,65281,11,35,16;;;0;Oct 20, 2019 16:14:49.683132000 CEST
10.0.2.15;13.32.99.21;58022;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;accuweather.brightspotcdn.com;0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:49.755243000 CEST
13.32.99.21;10.0.2.15;443;58022;2;0x00000303;49199;0,65281,11,35,16;;;0,1,2;Oct 20, 2019 16:14:49.766736000 CEST
34.192.74.189;10.0.2.15;443;32893;2;0x00000303;49199;65281,11,35,16;;;0,1,2;Oct 20, 2019 16:14:49.768805000 CEST
10.0.2.15;172.217.23.206;53710;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,5,13;android.clients.google.com;0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:50.094207000 CEST
172.217.23.206;10.0.2.15;443;53710;2;0x00000303;49195;23,65281,11;;;0;Oct 20, 2019 16:14:50.101019000 CEST
10.0.2.15;52.94.216.48;56878;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,21;aax-eu.amazon-adsystem.com;0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:51.059082000 CEST
52.94.216.48;10.0.2.15;443;56878;2;0x00000303;49199;65281,11,35,5,16;;;0,1,2;Oct 20, 2019 16:14:51.094858000 CEST
10.0.2.15;216.58.201.98;33640;443;1;0x00000303;27242,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;56026,65281,0,23,35,13,5,18,16,11,10,27,2570;googleads.g.doubleclick.net;0x00009a9a,0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:51.581239000 CEST
