SrcIP;DstIP;SrcPort;DstPort;OrgName;SNI;Hostname;AD flag;Version;Client CipherSuite;Client Extensions;Client SG;CEC_fmt;JA3hash;Server CipherSuite;Server Extensions;Server SG;SEC_fmt;JA3S hash
10.0.2.15;184.51.9.204;49263;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;49276;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;185.33.223.206;56453;443;not resolved;ib.adnxs.com;ib.adnxs.com;AD;771;49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53-10;0-23-35-13-5-18-16-11-10-27;0x00002a2a,0x0000001d,0x00000017,0x00000018;0;d5dcde95b8fa38b5062a128f7eff0737;49195;0-11-35-5-16;;0,1,2;6ab6af5ccdf237818ed677dfb1e5dabc
10.0.2.15;212.82.100.172;60548;443;not resolved;ads.yahoo.com;ads.yahoo.com;AD;771;49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53-10;0-23-35-13-5-18-16-11-10-27;0x00006a6a,0x0000001d,0x00000017,0x00000018;0;d5dcde95b8fa38b5062a128f7eff0737;49199;0-11-35-5-16;;0,1,2;0dd6cbec8e8bbaa06efa39ff853972dd
10.0.2.15;216.58.201.106;34206;443;not resolved;android.googleapis.com;android.googleapis.com;;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-5-13-30032;0x0000001d,0x00000017,0x00000018;0;ca75d9d90e40897206fa2a08d9100df0;49195;23-11-30032;;0;3e5b81f4815a4818df9b54eb4cdc644e
10.0.2.15;216.58.201.67;43596;443;not resolved;www.gstatic.com;www.gstatic.com;;771;49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53-10;0-23-35-13-5-18-16-11-10-27;0x00002a2a,0x0000001d,0x00000017,0x00000018;0;d5dcde95b8fa38b5062a128f7eff0737;49195;23-11-35-16;;0;3589acf0c85c607d87bcab1a7e1c7ca3
10.0.2.15;216.58.201.67;43597;443;not resolved;www.gstatic.com;www.gstatic.com;;771;49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53-10;0-23-35-13-5-18-16-11-10-27;0x0000fafa,0x0000001d,0x00000017,0x00000018;0;d5dcde95b8fa38b5062a128f7eff0737;49195;23-11-35-16;;0;3589acf0c85c607d87bcab1a7e1c7ca3
10.0.2.15;216.58.201.70;56709;443;not resolved;s0.2mdn.net;s0.2mdn.net;AD;771;49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53-10;0-23-35-13-5-18-16-11-10-27;0x00007a7a,0x0000001d,0x00000017,0x00000018;0;d5dcde95b8fa38b5062a128f7eff0737;49199;23-11-35-16;;0;182b31efa088c7665b13d7d04d80fef0
10.0.2.15;216.58.201.74;47113;443;not resolved;geomobileservices-pa.googleapis.com;android.googleapis.com;;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-16-5-13;0x0000001d,0x00000017,0x00000018;0;4e0d4a2b967fa262cd93949879d163fe;49195;23-11-16;;0;3e22c1e49e52f88fc45c8cbd6b8e1f37
10.0.2.15;216.58.201.78;58429;443;not resolved;android.clients.google.com;android.clients.google.com;;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-5-13;0x0000001d,0x00000017,0x00000018;0;3d9a16cdc1b2a98f6046af1c833054b8;49195;23-11;;0;9ab8f8c869ad234d4025e882270a547a
